CODIGO;NOMBRE;ACTIVA;MTP;MTC
3001;CONDUCTOS CHIMENEA TERREAL;T;42;42
3002;CHIMENEAS Y BARBACOAS FERLUX;T;43;43
3003;CHIMENEAS ROCAL;T;42;42
3004;LLAR CALOR (FILIAL ROCAL);T;42;42
3005;CHIMENEAS;T;42;42
3006;ESTUFAS LEÑA THECA;T;41;41
3007;MODULOS LEÑA ALBERTO PINO;T;41;41
3008;CHIMENEAS BOSCH MARIN;T;43;43
3010;BARBACOAS;T;42;42
3011;ACCESORIOS CHIMENEA;T;42;42
3014;BARBACOAS;T;42;42
3015;BARBACOAS FUGAR;T;42;42
3016;BARBACOAS PAÑELLA;T;42;42
3017;BARBACOAS EDILKAMIN;T;42;42
3020;COOK'IN GARDEN (BARBACOAS Y ACCESORIOS);T;70;60
3101;VISEMAR;T;42;42
3102;MARMOLES SERVIFIL;T;42;42
3103;COMPAC;T;30;30
3104;CORTES CCOS.;T;42;42
3105;MARMOLES SANDOVAL;T;42;42
3107;MARMOL TORREGROSA;T;42;42
3110;RODAPIE MARMOL;T;42;42
3112;MARMOLES MANCHAMAR;T;42;42
3203;MUEBLES COCINA PEDINI;T;44,93;37,68
3204;MUEBLES COCINA ALKOS;T;44,93;37,68
3205;ENCIM SILESTONE-DEKTON-NATURAMIA-GRANET;T;36,84;31
3206;ENC LAMINAT-FUSTA-THESIZE-ITOPKER;T;42,1;35
3207;MONTAJES MUEBLES COCINA;T;24,71;21
3208;MOBILIARIO MOBLIBERICA;T;72,7;68,8
3209;ENCIMERES DE CUINA;T;36,84;31
3210;ALKOS T1 BASIC 2015;T;35,8;30,43
3211;ALKOS BASIC (EXCEPTE T1) 2015;T;42,35;36
3212;ALKOS STANDARD;T;45,88;39
3213;CUINES REKKER;T;42,35;35,8
3215;PUERTAS FACIL-BLOCK;T;45;40
3220;RIVERSTONE;T;90;75
3301;SANITARIO GALA;T;66,66;52
3302;BAÑERAS ROCA;T;42,85;36
3303;REPARADORES;T;66,66;50
3304;CATALANO;T;60;52
3307;BAÑERAS CONTINENTAL;T;42,85;36
3309;BAÑERAS PRINCESS;T;42,85;36
3310;BAÑERAS CONTESA;T;42,85;36
3311;BAÑERAS CONTESA-BAÑASEO;T;42,85;36
3312;PLATOS DUCHAS ROCA;T;42,85;36
3313;PLATOS DUCHA IDEAL STANDARD;T;81,81;50
3314;PLATOS DUCHA NOVELLINI;T;81,81;50
3315;PLATOS DUCHA AQUA-ZONE;T;81,81;50
3316;SANITARIO ATLANTA BLANCO;T;28,78;21,22
3317;SANITARIO ONA;T;28,78;21,22
3318;SANITARIO ZOOM ;T;28,78;21,22
3319;SANITARIO ARMANI;T;28,78;21,22
3320;SANITARIO THE GAP;T;28,78;21,22
3321;SANITARIO HALL;T;28,78;21,22
